id,slug,title,occurred_on,occurred_on_precision,ended_on,jurisdiction,country,continent,level,type,tactic_primary,leader_slug,issue_of_the_day,outcome,outcome_on,outcome_note,granularity,era,summary,what_happened,stated_justification,effect_on_reporting,unknowns,status,status_updated_on,external_ids,illustration_key,pub_state,published_at,reviewed_on,next_review_on,revision,created_at,updated_at
1,2026-white-house-bans-cnn-msnow-politico,"United States: White House hard-pass deactivations for CNN, MS NOW and Politico reporters, September 2026",2026-09-18,day,,US,US,north-america,national,access_ban,access_ban,donald-trump,,ongoing,2026-09-21,"Cable News Network, Inc. v. Trump (D.D.C. No. 1:26-cv-03287) was filed on 2026-09-21 and is pending; a hearing is scheduled for 2026-09-23.",granular,2020s,"On September 18, 2026, the president of the United States, Donald Trump, announced on Truth Social, a social media platform, and in the Oval Office that CNN, MS NOW and Politico would be banned from the White House, the president's office and residence in Washington, D.C. He described the outlets' coverage as ""FICTION and LIES."" On September 19, 2026, the outlets' reporters were denied entry at the White House gates after their hard passes, the standing credentials that let reporters enter the White House press area without applying each day, were deactivated. The outlets sued on September 21, 2026, and the case is pending as of 2026-09-22.{c:1}","On September 18, 2026, the president of the United States, Donald Trump, announced on Truth Social and during an appearance in the Oval Office, the president's office in the White House, that CNN, MS NOW and Politico would be banned from the White House. He cited accumulated coverage that he called ""FICTION and LIES.""{c:1}{c:3}{c:90}{c:91}{c:92}{c:106}{c:107}

The same day, the White House Correspondents' Association (WHCA), the organization of reporters who cover the president of the United States, then led by Jacqui Heinrich, said the Constitution's press protections ""do not depend on whether the president likes a news organization's coverage.""{c:1}{c:3}{c:90}{c:91}{c:92}{c:106}{c:107}

On September 19, 2026, the Secret Service, the United States federal agency responsible for protecting the president, turned away CNN's Betsy Klein, MS NOW's Akayla Gardner and Politico's Cheyenne Haslett at the White House gates. One of the reporters said she was told ""they had to take my badge because it was disabled.""{c:1}{c:3}{c:90}{c:91}{c:92}{c:106}{c:107}

On September 20, 2026, the other television networks in the White House press pool, the small rotating group of reporters who cover the president in spaces too small for the full press corps and share what they gather with other outlets, declined to fill CNN's rotating slot in solidarity, according to the Associated Press. News outlets then published explainers on how the White House press pool works.{c:1}{c:3}{c:90}{c:91}{c:92}{c:106}{c:107}

Status as of 2026-09-22: In effect. Challenged in Cable News Network, Inc. v. Trump, No. 1:26-cv-03287, in the United States District Court for the District of Columbia, the federal trial court in Washington, D.C. (filed 2026-09-21; pending; hearing scheduled for 2026-09-23).{c:107}","In his announcement on September 18, 2026, Trump described the outlets' coverage as ""FICTION and LIES."" The same day he told a Bloomberg reporter, ""I dislike dishonest press, like you. I think you're terrible."" The White House has not identified a specific story that prompted the decision (as of 2026-09-22).{c:106}","Reporters from CNN, MS NOW and Politico can no longer enter the White House grounds with their hard passes, which were deactivated on September 19, 2026 (as of 2026-09-22). On September 20, 2026, the other networks in the White House press pool declined to fill CNN's rotating slot, so no replacement crew covered it for the shared pool feed that other outlets use.{c:3}",The White House has not said which story or stories prompted the decision (as of 2026-09-22).,in_effect,2026-09-22,{},,published,2026-09-22T20:01:41Z,2026-09-22,2026-12-22,22,2026-09-22T20:01:31Z,2026-09-22T22:30:24Z
2,2025-pentagon-press-corps-forfeits-badges,"United States: News organizations turn in their Pentagon press credentials, October 2025",2025-10-15,day,,US,US,north-america,national,credential_revocation,credential_control,donald-trump,,ongoing,2026-04-09,Credentials were ordered restored for seven New York Times journalists on 2026-03-20; the ruling against the revised policy on 2026-04-09 is on appeal. Most other outlets remain outside the building.,granular,2020s,"Beginning on October 15, 2025, reporters from at least 30 news organizations vacated the press workspace at the Pentagon, the headquarters of the United States Department of Defense, rather than sign the department's new credential pledge, with a deadline of October 17 to remove their belongings. They included ABC News, NBC News, CBS News, Fox News, CNN, the Associated Press, Reuters, Bloomberg News, The New York Times, The Washington Post, The Wall Street Journal, NPR and Politico. One America News Network said it would sign. As of 2026-09-22, most of these outlets cover the Pentagon from outside the building.{c:93}","Beginning on October 15, 2025, reporters from at least 30 news organizations began vacating the press room at the Pentagon, the headquarters of the United States Department of Defense, removing equipment and furniture rather than sign the credential pledge the department issued on September 21, 2025. The deadline to remove belongings was October 17, 2025.{c:5}{c:93}{c:94}

The outlets that declined included ABC News, NBC News, CBS News, Fox News, CNN, the Associated Press, Reuters, Bloomberg News, The New York Times, The Washington Post, The Wall Street Journal, NPR and Politico. One America News Network was reported as the only major outlet to accept the terms.{c:5}{c:93}{c:94}

Military Times and Defense News, two publications that cover the United States armed forces and were among the outlets that declined, said the policy ""threatens to punish reporters who ask legitimate questions in the course of their daily work.""{c:5}{c:93}{c:94}

Status as of 2026-09-22: Partly in effect. The New York Times sued the Department of Defense on December 4, 2025. On March 20, 2026, United States District Judge Paul Friedman ruled that the credential-revocation provisions violated constitutional protections and ordered credentials restored for seven Times journalists. After the department issued revised restrictions, Friedman wrote on April 9, 2026 that it ""simply cannot reinstate an unlawful policy under the guise of taking 'new' action,"" and the department appealed. Most other outlets cover the Pentagon from outside the building.{c:94}","The Department of Defense gave no separate reason for requiring the pledge as a condition of the badge. It described the underlying rules as ""an important step in preventing leaks that damage operational security and national security.""{c:5}{c:93}{c:94}","Reporters from most major news organizations lost routine access to the Pentagon building and its press workspace, and cover the department from outside it (as of 2026-09-22).{c:5}",,in_effect,2026-09-22,{},,published,2026-09-22T20:01:47Z,2026-09-22,2026-12-22,23,2026-09-22T20:01:43Z,2026-09-22T22:30:30Z
3,2025-whca-loses-control-of-press-pool,"United States: White House takes over selection of the presidential press pool, February 2025",2025-02-25,day,,US,US,north-america,national,access_ban,access_ban,donald-trump,,sustained,2026-09-22,"The White House selects the pool as of 2026-09-22, according to the Associated Press (s104).",granular,2020s,"On February 25, 2025, the White House announced that it would decide which journalists join the press pool, the small rotating group of reporters who cover the president of the United States in spaces such as the Oval Office and Air Force One and share what they gather with other outlets. The White House Correspondents' Association (WHCA), the organization of reporters who cover the president, said that for more than a century ""working journalists"" and ""not government officials"" had ""determined pool rotation procedures."" As of 2026-09-22, the White House selects the pool, according to the Associated Press.{c:6}","On February 25, 2025, the White House announced that it would select the journalists who join the limited-space press pool that covers the president of the United States in the Oval Office, on Air Force One and at other small venues. The White House Correspondents' Association (WHCA), the organization of reporters who cover the president, and its member outlets had managed the rotation for more than a century.{c:6}{c:7}{c:95}

The WHCA president, Eugene Daniels, said the association had not been consulted and that the change ""suggests the government will choose the journalists who cover the president."" The WHCA said it would continue to press for comprehensive access and full transparency.{c:6}{c:7}{c:95}

The announcement came nine days after the White House began excluding the Associated Press from the Oval Office and Air Force One (see the February 2025 entry).{c:6}{c:7}{c:95}

Status as of 2026-09-22: In effect. The White House ""now picks and chooses which members of the media make up the pool,"" according to the Associated Press.{c:95}",The White House asserted its authority over access to spaces such as the Oval Office and Air Force One. It has not given a further reason for taking over pool selection (as of 2026-09-22).{c:6}{c:7}{c:95},"The White House, rather than the working press corps, decides which outlets rotate into the pool that covers the president in small venues, and the pool has included outlets that were not part of the previous rotation (as of 2026-09-22).{c:7}",,in_effect,2026-09-22,{},,published,2026-09-22T20:01:52Z,2026-09-22,2026-12-22,23,2026-09-22T20:01:48Z,2026-09-22T22:30:32Z
4,2025-fcc-pressure-precedes-kimmel-suspension,"United States: Federal Communications Commission chairman's remarks and the suspension of Jimmy Kimmel Live!, September 2025",2025-09-17,day,,US,US,north-america,national,regulatory_pressure,funding_and_ownership_pressure,donald-trump,"Jimmy Kimmel's on-air remarks about speculation over the motives of the person who killed Charlie Kirk, according to NPR.",reversed,2025-09-23,"ABC announced the show's return for 2025-09-23 after about a week off the air, according to Al Jazeera (s112).",granular,2020s,"On September 17, 2025, the chairman of the Federal Communications Commission (FCC), the United States regulator of broadcasting, Brendan Carr, said broadcasters could ""do this the easy way or the hard way"" over remarks by the television host Jimmy Kimmel, and warned of ""additional work for the FCC ahead."" Within hours, the station owners Nexstar and Sinclair said they would pull Jimmy Kimmel Live! from their stations, and ABC, the network that airs it, did the same, according to NPR. ABC announced that the show would return on September 23, 2025, according to Al Jazeera.{c:96}","On September 17, 2025, the chairman of the Federal Communications Commission (FCC), the United States regulator that licenses radio and television stations, Brendan Carr, spoke publicly about broadcasters that carried Jimmy Kimmel Live! Kimmel had spoken on air about speculation by some of Donald Trump's supporters over the motives of the person who killed Charlie Kirk, according to NPR.{c:8}{c:96}{c:97}{c:98}

Carr said, ""We can do this the easy way or the hard way. These companies can find ways to change conduct to take action on Kimmel or, you know, there's going to be additional work for the FCC ahead."" NPR reported that the show was pulled ""hours after the U.S. government threatened to cancel broadcasting licenses.""{c:8}{c:96}{c:97}{c:98}

Nexstar and Sinclair, companies that own many local television stations affiliated with ABC, announced they would pull the show indefinitely. ABC, the network that airs it, then did the same, according to NPR.{c:8}{c:96}{c:97}{c:98}

Status as of 2026-09-22: Ended. ABC announced that Jimmy Kimmel Live! would return on September 23, 2025, according to Al Jazeera.{c:98}","Carr said, ""We can do this the easy way or the hard way. These companies can find ways to change conduct to take action on Kimmel or, you know, there's going to be additional work for the FCC ahead.""{c:8}","Jimmy Kimmel Live! went off the air on ABC and on stations owned by Nexstar and Sinclair from September 17, 2025, until ABC returned it to its schedule after ""a weeklong impasse,"" according to Al Jazeera.{c:97}","The FCC, ABC, Nexstar and Sinclair have not made public any private communications between them about the suspension (as of 2026-09-22).",in_effect,2026-09-22,{},,published,2026-09-22T20:02:01Z,2026-09-22,2026-12-22,23,2026-09-22T20:01:53Z,2026-09-22T22:30:34Z
5,2025-paramount-cbs-settle-60-minutes-suit,"United States: Paramount settlement of Donald Trump's lawsuit over a 60 Minutes interview, July 2025",2025-07-01,day,,US,US,north-america,national,lawsuit_against_press,lawsuits_against_press,donald-trump,"60 Minutes' editing of a 2024 interview with Kamala Harris, then vice-president of the United States.",sustained,2025-07-01,"Settled on 2025-07-01: US$16 million to Trump's future presidential library and the plaintiffs' fees and costs; 60 Minutes to release transcripts of presidential-candidate interviews. The outcome enum has no value for a settlement; ""sustained"" records that the settlement terms stand.",granular,2020s,"On July 1, 2025, Paramount, the parent company of the United States broadcaster CBS News, announced that it would settle for US$16 million a lawsuit brought by Donald Trump, the president of the United States, over how the CBS program 60 Minutes edited a 2024 interview with Kamala Harris, then vice-president. The money goes to Trump's future presidential library and the plaintiffs' fees and costs, and 60 Minutes will release transcripts of future interviews with presidential candidates, ""subject to redactions as required for legal or national security concerns."" Paramount ""has maintained that the lawsuit was completely without merit,"" according to CBS News.{c:99}","Donald Trump sued CBS News' parent company, Paramount, over 60 Minutes' editing of a 2024 interview with Kamala Harris, then vice-president of the United States. The lawsuit alleged that the network aired two differently edited excerpts of the same answer, on Face the Nation and on 60 Minutes, in a deceptive way. Ronny Jackson was a co-plaintiff.{c:9}{c:99}{c:100}{c:101}

On July 1, 2025, Paramount announced a US$16 million settlement, reached with a mediator. The money goes to Trump's future presidential library and the plaintiffs' fees and costs rather than to Trump or Jackson personally. Paramount said the lawsuit was without merit and that the editing followed standard practice.{c:9}{c:99}{c:100}{c:101}

Under the settlement, 60 Minutes will release transcripts of interviews with presidential candidates, subject to redactions for legal or national security reasons.{c:9}{c:99}{c:100}{c:101}

Status as of 2026-09-22: Settled. The lawsuit ended with the settlement announced on July 1, 2025.{c:101}","Trump's lawsuit alleged that CBS aired two differently edited excerpts of the same answer from the Harris interview in a deceptive way. Paramount ""has maintained that the lawsuit was completely without merit,"" according to CBS News.{c:9}","Under the settlement announced on July 1, 2025, 60 Minutes will release transcripts of its interviews with presidential candidates, ""subject to redactions as required for legal or national security concerns.""{c:100}","Paramount has not said whether its pending merger with Skydance Media, which awaited approval from United States regulators, bore on its decision to settle (as of 2026-09-22).",in_effect,2026-09-22,{},,published,2026-09-22T20:02:12Z,2026-09-22,2026-12-22,23,2026-09-22T20:02:03Z,2026-09-22T22:30:37Z
6,2025-usagm-moves-to-shut-down-voice-of-america,"United States: U.S. Agency for Global Media action to shut down Voice of America operations, March 2025",2025-03-15,day,,US,US,north-america,national,funding_cut,funding_and_ownership_pressure,donald-trump,,ongoing,2025-03-28,A temporary restraining order of 2025-03-28 barred USAGM from reducing its workforce; litigation continued into 2026.,granular,2020s,"Beginning on March 15, 2025, the U.S. Agency for Global Media (USAGM), the United States federal agency that oversees the government's international broadcasters, placed most of its staff on paid administrative leave and moved to shut down the operations of Voice of America (VOA), the United States government's international broadcaster. Kari Lake, a senior advisor at USAGM, carried out the action under an executive order of the president of the United States, Donald Trump, to reduce the federal bureaucracy. VOA journalists sued on March 21, 2025, and on March 28, 2025, a federal judge issued a temporary restraining order, a short-term order made before a full hearing, that barred the agency from reducing its workforce.{c:40}","In March 2025, the president of the United States, Donald Trump, signed an executive order directing federal agencies to reduce their workforce. Kari Lake, installed as a senior advisor at the U.S. Agency for Global Media (USAGM), the federal agency that oversees Voice of America (VOA), moved to shut down VOA's operations. The agency cancelled leases and placed nearly all VOA staff on administrative leave beginning on March 15, 2025.{c:40}{c:41}{c:42}{c:43}

On March 21, 2025, VOA and USAGM journalists, represented in part by the American Federation of Government Employees (AFGE), a union of United States federal employees, sued the Trump administration and Lake. They argued that the shutdown violated the law that establishes VOA's editorial independence.{c:40}{c:41}{c:42}{c:43}

On March 28, 2025, a federal judge issued a temporary restraining order requiring the agency to restore operations, in Widakuswara v. Lake. Further staff cuts and litigation continued into 2026, including a March 2026 order returning about 1,000 VOA staff to work.{c:40}{c:41}{c:42}{c:43}

Status as of 2026-09-22: Partly in effect. Litigation over VOA's staffing and operations continued into 2026, with courts repeatedly ordering the agency to restore staff and functions.{c:43}","USAGM said it was complying with the executive order to ""reduce the federal bureaucracy"" and cutting costs, including by cancelling what it called an ""obscenely expensive 15-year lease.""{c:41}","VOA broadcasts to audiences in countries including Iran, China and Russia were interrupted, and hundreds of journalists were placed on leave or laid off.{c:42}",The sources cited do not state the final outcome of the lawsuit or USAGM's long-term staffing plan for VOA (as of 2026-09-22).,in_effect,2026-09-22,{},,published,2026-09-22T20:41:09Z,2026-09-22,2026-12-22,25,2026-09-22T20:02:14Z,2026-09-22T22:30:41Z
7,2025-doj-rescinds-media-subpoena-guidelines,"United States: Department of Justice rescission of rules limiting subpoenas of journalists, April 2025",2025-04-25,day,,US,US,north-america,national,subpoena_or_seizure,surveillance_and_subpoenas,donald-trump,,sustained,2025-04-25,In effect since 2025-04-25; the sources cited report no restoration of the earlier rules (as of 2026-09-22).,granular,2020s,"On April 25, 2025, the Attorney General of the United States, Pam Bondi, head of the Department of Justice, the federal department that prosecutes federal crimes, rescinded rules adopted in 2021 and 2022 under her predecessor, Merrick Garland, that barred prosecutors from seeking reporters' records or testimony to identify the sources of leaks. Bondi's memo said leaks of sensitive information to the media undermine the department's ability ""to uphold the rule of law, protect civil rights, and keep America safe."" The department returned to a test that weighs law enforcement interests against press freedom, according to the Reporters Committee for Freedom of the Press, a United States non-profit that provides legal help to journalists.{c:102}","On April 25, 2025, the Attorney General of the United States, Pam Bondi, issued a memo rescinding Department of Justice rules, adopted in a 2021 memo and a 2022 rewrite of the department's media guidelines under Attorney General Merrick Garland, that set a firm rule against subpoenaing journalists' records or compelling their testimony to identify the sources of unauthorized leaks. A subpoena is a legal order that compels a person to testify or hand over records.{c:10}{c:11}{c:102}{c:103}

The rescission returned the department to a pre-2022 balancing test that weighs law enforcement interests against press freedom. The earlier rules had been adopted after it became known that the Department of Justice, during Trump's first term as president and later under President Joe Biden, had secretly obtained reporters' phone and email records.{c:10}{c:11}{c:102}{c:103}

The Reporters Committee for Freedom of the Press, a United States non-profit that provides legal help to journalists, said leak investigations ""chill newsgathering and reporting in the public interest.""{c:10}{c:11}{c:102}{c:103}

Status as of 2026-09-22: In effect. The sources cited report no restoration of the 2021 and 2022 rules.{c:103}","A Department of Justice memo said, ""Federal government employees intentionally leaking sensitive information to the media undermines the ability of the Department of Justice to uphold the rule of law, protect civil rights, and keep America safe.""{c:10}","Journalists who cover national security and law enforcement in the United States can again be subpoenaed for records or compelled to testify in leak investigations, which the 2021 and 2022 rules had been written to prevent.{c:11}",The sources cited do not state whether the Department of Justice has subpoenaed a journalist under the restored balancing test (as of 2026-09-22).,in_effect,2026-09-22,{},,published,2026-09-22T20:02:24Z,2026-09-22,2026-12-22,23,2026-09-22T20:02:17Z,2026-09-22T22:30:43Z
8,2018-white-house-revokes-acosta-press-pass,"United States: White House suspension of CNN correspondent Jim Acosta's hard pass, November 2018",2018-11-07,day,,US,US,north-america,national,credential_revocation,credential_control,donald-trump,"An exchange between Acosta and Trump at a White House news conference on November 7, 2018, after the United States midterm elections.",reversed,2018-11-19,A temporary restraining order of 2018-11-16 required reinstatement; the White House restored the pass on 2018-11-19 and CNN dropped the suit.,anchor,2010s,"On November 7, 2018, the White House suspended the hard pass of CNN's White House correspondent, Jim Acosta, after what Gulf News called a ""heated confrontation"" between Acosta and the president of the United States, Donald Trump, at a news conference after the country's midterm elections. A hard pass is the standing credential that lets a reporter enter the White House press area without applying each day. On November 16, 2018, a federal judge granted CNN a temporary restraining order requiring the pass to be reinstated, and the White House restored it on November 19, 2018, after which CNN dropped its lawsuit.{c:46}","On November 7, 2018, after an exchange between CNN correspondent Jim Acosta and the president of the United States, Donald Trump, at a news conference following the midterm elections, the White House revoked Acosta's hard pass, the credential that gave him routine access to the White House grounds.{c:44}{c:45}{c:46}{c:47}

CNN sued. On November 16, 2018, Judge Timothy J. Kelly of the United States District Court for the District of Columbia, the federal trial court in Washington, D.C., granted a temporary restraining order, a short-term order made before a full hearing, requiring that the pass be reinstated. He applied the due process framework of Sherrill v. Knight, a 1977 appeals court decision that a White House press pass may not be denied without notice, a chance to respond and written reasons.{c:44}{c:45}{c:46}{c:47}

The White House restored Acosta's pass on November 19, 2018, and CNN dropped its suit. The White House then issued written rules for reporters' conduct when asking questions at news conferences.{c:44}{c:45}{c:46}{c:47}

Status as of 2026-09-22: Ended. The pass was restored on November 19, 2018, and CNN dropped its lawsuit, Cable News Network, Inc. v. Trump, No. 1:18-cv-02610 (D.D.C.).{c:45}","The White House said Acosta had placed his hands on ""a young woman just trying to do her job as a White House intern"" when she tried to take the microphone from him. CNN disputed that account.{c:47}","Acosta could not enter the White House grounds with his hard pass from November 7 to November 19, 2018. After the case, the White House issued its first written rules for reporters' conduct at news conferences.{c:44}",,in_effect,2026-09-22,{},,published,2026-09-22T20:41:16Z,2026-09-22,2026-12-22,25,2026-09-22T20:02:27Z,2026-09-22T22:30:45Z
9,2024-louisiana-enacts-police-buffer-zone-law,"United States (Louisiana): 25-foot buffer zone law around police officers, May 2024",2024-05-24,day,,US-LA,US,north-america,state_or_province,legislation,access_ban,jeff-landry,,ongoing,2025-01-31,Enforcement blocked by a preliminary injunction on 2025-01-31 while the case is pending; Louisiana's appeal was reported pending as of mid-2026.,granular,2020s,"On May 28, 2024, the governor of Louisiana, a state in the southern United States, Jeff Landry, signed a law that makes it a crime to stay within 25 feet (about 7.6 metres) of a working law enforcement officer after the officer has told a person to step back. The law applies to everyone, including journalists. Supporters described it as protecting officers' safety while they work. On January 31, 2025, a federal judge blocked its enforcement while a challenge to it is decided.{c:110}","On May 28, 2024, the governor of Louisiana, Jeff Landry, signed a law creating a 25-foot (7.6-metre) zone around working law enforcement officers. Once an officer gives a verbal warning, anyone who stays within that distance commits a crime and can face jail.{c:49}{c:50}{c:51}{c:110}

Nieman Lab, a publication about journalism, reported in August 2024 that the law limits the ability of journalists and bystanders to film police activity, including alleged misconduct, because 25 feet is farther than the distance from which most phone and body-worn video of police encounters is recorded. The Reporters Committee for Freedom of the Press, a United States non-profit that provides legal help to journalists, added Louisiana guidance to its guide to recording laws.{c:49}{c:50}{c:51}{c:110}

Journalists and civil rights observers challenged the law in federal court.{c:49}{c:50}{c:51}{c:110}

Status as of 2026-09-22: Suspended by court order. A federal judge's preliminary injunction of January 31, 2025, an order that keeps the situation as it is while a case is decided, blocks enforcement (see the January 2025 entry). Louisiana's appeal was reported pending as of mid-2026.{c:51}","Supporters described the law as protecting officers' safety while they perform their duties. Landry said on signing it, ""This is part of our continued pledge to address public safety.""{c:49}","Journalists and others filming police in Louisiana had to stay at least 25 feet (7.6 metres) away once warned, or face jail, until a federal judge blocked enforcement on January 31, 2025.{c:50}",,in_effect,2026-09-22,{},,published,2026-09-22T20:41:23Z,2026-09-22,2026-12-22,27,2026-09-22T20:02:32Z,2026-09-22T22:32:05Z
10,2025-florida-halo-law-takes-effect,"United States (Florida): Halo Law buffer zone around first responders, January 2025",2025-01-01,day,,US-FL,US,north-america,state_or_province,legislation,access_ban,ron-desantis,,sustained,2025-01-01,In effect from 2025-01-01; the sources cited report no court order blocking it (as of 2026-09-22).,granular,2020s,"On January 1, 2025, the ""Halo Law"" took effect in Florida, a state in the south-eastern United States. It creates a 25-foot (7.6-metre) buffer zone around first responders, such as police officers, firefighters and paramedics, while they are performing their duties, and anyone who enters the zone ""to 'harass, impede or threaten' first responders after receiving a warning"" faces up to 60 days in prison and a fine of US$500. The law applies to journalists as well as the public. The governor of Florida, Ron DeSantis, signed it in 2024.{c:55}","Florida's ""Halo Law,"" signed by the governor of Florida, Ron DeSantis, in 2024, took effect on January 1, 2025. Like Louisiana's buffer zone law of the same year, it sets a minimum distance that the public, including journalists, must keep from first responders performing official duties once warned to step back, and treats a violation as a crime.{c:55}{c:56}{c:57}{c:58}

The law firm Phelps Dunbar grouped Florida's law with Louisiana's as two state laws raising First Amendment concerns for reporters covering police. It noted that both leave anyone recording police to judge a safe distance on the spot or risk arrest.{c:55}{c:56}{c:57}{c:58}

Unlike Louisiana's law, Florida's had not been blocked by a court as of the sources cited.{c:55}{c:56}{c:57}{c:58}

Status as of 2026-09-22: In effect. The sources cited report no court order blocking it.{c:58}","The law was presented as protecting first responders at active scenes. It applies ""anywhere that first responders are actively performing their duties by creating a 25-foot buffer zone to allow them to carry on their duties,"" according to Fire Law Blog.{c:56}","Journalists covering police, fire and ambulance services in Florida must keep a 25-foot (7.6-metre) distance once warned, which limits their ability to document first responders' conduct at close range.{c:57}",The sources cited do not state whether the Halo Law has been challenged in court (as of 2026-09-22).,in_effect,2026-09-22,{},,published,2026-09-22T20:41:35Z,2026-09-22,2026-12-22,25,2026-09-22T20:02:40Z,2026-09-22T22:30:51Z
